2022-05-19 23:05:892 INFO  CarSearchPage :62 - select the price for car from drop down $45,000
2022-05-19 23:05:533 INFO  SearchResultPage :22 - get the text of car search result car : Proxy element for: DefaultElementLocator 'By.xpath: //h1[@class="listing-search-title"]'
2022-05-19 23:05:445 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:679 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:155 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (f1d1fe02a5199b7c8a728b440bfb1bc7)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:333 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (f1d1fe02a5199b7c8a728b440bfb1bc7)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:661 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (f1d1fe02a5199b7c8a728b440bfb1bc7)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:592 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:343 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:292 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (fef8bc59bf09e7d0ca79661354ff0eb5)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:581 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (fef8bc59bf09e7d0ca79661354ff0eb5)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:318 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (fef8bc59bf09e7d0ca79661354ff0eb5)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:218 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:789 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (eb455039d1856a8432ed146f3824ff16)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:00 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (eb455039d1856a8432ed146f3824ff16)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:677 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (eb455039d1856a8432ed146f3824ff16)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:232 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:352 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:259 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:292 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (0e9b207773935342b539636e1a9af201)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:450 INFO  HomePage :44 - Link On Used Link:[[ChromeDriver: chrome on WINDOWS (0e9b207773935342b539636e1a9af201)] -> xpath: //a[text()='Used']]
2022-05-19 23:05:227 INFO  UserdCarSearchPage :42 - get the text of used Car Search text : [[ChromeDriver: chrome on WINDOWS (0e9b207773935342b539636e1a9af201)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 23:05:306 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:138 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (dfedaf55453a44bbe558ab3fa2ea6d23)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:736 INFO  HomePage :44 - Link On Used Link:[[ChromeDriver: chrome on WINDOWS (dfedaf55453a44bbe558ab3fa2ea6d23)] -> xpath: //a[text()='Used']]
2022-05-19 23:05:285 INFO  UserdCarSearchPage :42 - get the text of used Car Search text : [[ChromeDriver: chrome on WINDOWS (dfedaf55453a44bbe558ab3fa2ea6d23)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 23:05:353 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:154 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (0ee15e1e70ddb82f7dbd454a56272854)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:384 INFO  HomePage :44 - Link On Used Link:[[ChromeDriver: chrome on WINDOWS (0ee15e1e70ddb82f7dbd454a56272854)] -> xpath: //a[text()='Used']]
2022-05-19 23:05:990 INFO  UserdCarSearchPage :42 - get the text of used Car Search text : [[ChromeDriver: chrome on WINDOWS (0ee15e1e70ddb82f7dbd454a56272854)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 23:05:906 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:977 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (f026f63ab27cc807f298a6d2619ac8a6)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:258 INFO  HomePage :44 - Link On Used Link:[[ChromeDriver: chrome on WINDOWS (f026f63ab27cc807f298a6d2619ac8a6)] -> xpath: //a[text()='Used']]
2022-05-19 23:05:73 INFO  UserdCarSearchPage :42 - get the text of used Car Search text : [[ChromeDriver: chrome on WINDOWS (f026f63ab27cc807f298a6d2619ac8a6)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 23:05:88 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:941 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (d1ed96f81883c15d7866e015993e8df2)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:216 INFO  HomePage :44 - Link On Used Link:[[ChromeDriver: chrome on WINDOWS (d1ed96f81883c15d7866e015993e8df2)] -> xpath: //a[text()='Used']]
2022-05-19 23:05:46 INFO  UserdCarSearchPage :42 - get the text of used Car Search text : [[ChromeDriver: chrome on WINDOWS (d1ed96f81883c15d7866e015993e8df2)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 23:05:269 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:299 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (ab59a57ad3f6895bc3f4b0bdf2695bfe)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:463 INFO  HomePage :44 - Link On Used Link:[[ChromeDriver: chrome on WINDOWS (ab59a57ad3f6895bc3f4b0bdf2695bfe)] -> xpath: //a[text()='Used']]
